PARTY,UCC,SYMBOL,SETCOD,TYP,TOTSALE,DELVSALE,EPI,SALEPENDING,TOTBUY,DELVBUY,SALEVAL,BUYVAL,NETVAL,AVGRATE,NATURE,MINMARGIN
EJE0016,EJE0016,LT,N2022147  ,EQ,10,10,10,0,0,0,18018.5,0,18018.50,0,R,0
EJE0016,EJE0016,KOTAKBANK,N2022147  ,EQ,10,10,10,0,0,0,18627.5,0,18627.50,0,R,0
EJE0016,EJE0016,GODREJCP,N2022147  ,EQ,15,15,15,0,0,0,12856.5,0,12856.50,0,R,0
EJE0016,EJE0016,TATAMOTORS,N2022147  ,EQ,70,70,70,0,0,0,33079.5,0,33079.50,0,R,0
EJE0017,EJE0017,CHAMBLFERT,N2022148  ,EQ,0,0,0,0,100,100,0,32000,-32000,320,R,6400
EJE0017,EJE0017,PATANJALI,Z2022147  ,BE,0,0,0,0,50,50,0,56250,-56250,1125,Z,11250
EJH0012,EJH0012,RCF,N2022148  ,EQ,300,300,0,300,0,0,27667.5,0,27667.50,92.23,R,5533.50
EJH0012,EJH0012,PRESTIGE,N2022147  ,EQ,0,0,0,0,100,100,0,43225,-43225,432.25,R,8645
EJH0046,EJH0046,TCS,N2022148  ,EQ,14,14,0,14,0,0,46787.7,0,46787.70,3341.98,R,9357.54
EJH0046,EJH0046,HINDALCO,N2022148  ,EQ,115,115,0,115,0,0,48949.75,0,48949.75,425.65,R,9789.95
EJH0057,EJH0057,RCF,N2022148  ,EQ,100,100,4,96,0,0,9221.55,0,9221.55,92.22,R,1770.5380
EJH0069,EJH0069,RCF,N2022148  ,EQ,119,119,84,35,0,0,10977.75,0,10977.75,92.25,R,645.75
EJH0070,EJH0070,WELCORP,N2022148  ,EQ,0,0,0,0,500,500,0,114575,-114575,229.15,R,22915
EJH0070,EJH0070,PRESTIGE,N2022147  ,EQ,0,0,0,0,350,350,0,151375,-151375,432.50,R,30275
EJH0070,EJH0070,VTL,N2022148  ,EQ,500,500,0,500,0,0,160072,0,160072,320.14,R,32014.40
EJH0070,EJH0070,SBIN,N2022147  ,EQ,500,500,500,0,0,0,271603.3,0,271603.30,0,R,0
EJH0070,EJH0070,RCF,N2022148  ,EQ,1000,1000,0,1000,0,0,92200,0,92200,92.20,R,18440
EJK0002,EJK0002,VBL,N2022148  ,EQ,38,38,0,38,0,0,37760.65,0,37760.65,993.70,R,7552.13
EJK0002,EJK0002,HDFCBANK,N2022148  ,EQ,25,25,0,25,0,0,36135,0,36135,1445.40,R,7227
EJK0011,EJK0011,MCX,N2022148  ,EQ,0,0,0,0,7,7,0,9092.25,-9092.25,1298.89,R,1818.45
EJK0011,EJK0011,YESBANK,N2022147  ,EQ,0,0,0,0,250,250,0,4145,-4145,16.58,R,829
EJK0011,EJK0011,ONGC,N2022147  ,EQ,0,0,0,0,15,15,0,2043,-2043,136.20,R,408.60
EJK0028,EJK0028,TATASTEEL,N2022148  ,EQ,0,0,0,0,100,100,0,10750,-10750,107.50,R,2150
EJL0014,EJL0014,CHAMBLFERT,N2022148  ,EQ,39,39,0,39,0,0,12366.9,0,12366.90,317.10,R,2473.38
EJL0014,EJL0014,CHAMBLFERT,N2022147  ,EQ,1,1,1,0,0,0,332.05,0,332.05,0,R,0
EJT0017,EJT0017,RAMKY,N2022148  ,EQ,50,50,0,50,0,0,8781.1,0,8781.10,175.62,R,1756.22
EJT0017,EJT0017,WIPRO,N2022147  ,EQ,0,0,0,0,25,25,0,10800,-10800,432,R,2160
EJT0017,EJT0017,523100,N2022148  ,EQ,0,0,0,0,25,25,0,9230,-9230,369.20,R,1846
EJT0018,EJT0018,ZOMATO,N2022147  ,EQ,0,0,0,0,500,500,0,27900,-27900,55.80,R,5580
EJT0018,EJT0018,ZOMATO,N2022148  ,EQ,1500,0,0,0,2000,500,85500,114075,-28575,57.15,R,5715
EJT0023,EJT0023,COROMANDEL,N2022148  ,EQ,20,20,0,20,0,0,20513,0,20513,1025.65,R,4102.60
EJT0023,EJT0023,APOLLOTYRE,N2022148  ,EQ,100,100,0,100,0,0,22855,0,22855,228.55,R,4571
EJT0023,EJT0023,LODHA,N2022148  ,EQ,0,0,0,0,50,50,0,52100,-52100,1042,R,10420
EJT0023,EJT0023,SUPERHOUSE,N2022148  ,EQ,50,50,0,50,0,0,11545,0,11545,230.90,R,2309
EJT0023,EJT0023,PSUBNKBEES,N2022148  ,EQ,1000,1000,0,1000,0,0,31520,0,31520,31.52,R,6304
EJT0031,EJT0031,TATASTEEL,N2022148  ,EQ,0,0,0,0,500,500,0,54650,-54650,109.30,R,10930
EJT0032,EJT0032,KPITTECH,N2022148  ,EQ,0,0,0,0,50,50,0,26092.5,-26092.50,521.85,R,5218.50
EJT0032,EJT0032,KPITTECH,N2022147  ,EQ,0,0,0,0,50,50,0,26409.2,-26409.20,528.18,R,5281.84
