msgId,requestType,curDate,seg,cmCode,tmCode,cpCode,cliCode,accType,amt,action,RespStatus,RespMessagesCode,RespFeildMsg,RespValidationMsg,CreateDateTime,Source
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2485        ,C,2795.67,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2594        ,C,31132.895,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2633        ,C,59842.19,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2667        ,C,79904.935,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2732        ,C,8397.62,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2746        ,C,182249.89,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2787        ,C,86132.185,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2792        ,C,25818.83,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2831        ,C,206278.91,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2840        ,C,56.29,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2963        ,C,8847.08,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2984        ,C,13294.43,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3029        ,C,114257.36,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3066        ,C,39759.43,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3104        ,C,322.13,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3314        ,C,2221.31,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3324        ,C,649.58,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3349        ,C,2252.78,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3367        ,C,1879.645,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3383        ,C,4902.44,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3417        ,C,104192.44,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3448        ,C,168046.63,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3463        ,C,3002.59,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3488        ,C,13630.53,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3600        ,C,4673.395,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3618        ,C,1362.79,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3622        ,C,781.9,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3660        ,C,4479.77,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3669        ,C,791.25,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3776        ,C,6157.07,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3777        ,C,595.8,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3852        ,C,30447.02,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3890        ,C,22390.46,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3938        ,C,1998.88,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3953        ,C,6388.21,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
