Date,CM Code,CM Name,CP Code,TM Code,TM Name,End Client,Allocation at BOD,Allocations during the Day,Deallocation during the Day,Allocation at EOD,OWN Collateral at BOD,OWN Collateral added during Day,OWN Collateral reduced during Day,OWN Collateral at EOD,OWN Others Collateral at BOD,OWN Others Collateral added during Day,OWN Others Collateral reduced during Day,OWN Others Collateral at EOD,Total Collateral at EOD,Eligible Collateral at EOD,Margin Utilisation
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3841        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194580
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3881        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32740.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3883        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DDV0195        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20033.78
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CPZ0036        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39329.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CLI0025        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56991.57
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRJ0397        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116781.43
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DDV0282        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6677.93
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DDV0374        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0189        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0214        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510634.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0230        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98324.06
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0234        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19664.81
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CNJ0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91769.13
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0257        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65481.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0267        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19664.81
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0272        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39329.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0274        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0276        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19664.81
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0286        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CTT0026        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32740.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CKT0083        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143124.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CKT0093        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241911.33
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0299        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0303        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32774.69
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0304        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CVA1085        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32774.69
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0306        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26219.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0317        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0319        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD2548        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD2561        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433206.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DDV0020        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45884.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DQY0160        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131098.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CVQ0081        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32740.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EAC0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33900.36
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DNE0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194580
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DKX0034        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629753.44
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0003        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170975.19
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0004        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107859.18
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0006        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340277.70
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87717.51
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0012        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EAC0009        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CXU0018        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45884.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DKX0095        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123302.24
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DJO1936        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130962.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EMX0031        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141909.30
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EMX0040        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32740.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0014        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162399.40
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0015        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66779.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJD0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ENB0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJH0003        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJH0057        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,11155          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ECY0032        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147562.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,56295          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889397.69
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,40965          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3917767.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0001        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26219.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ECY0044        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147562.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DYJ0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10858.04
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0055        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19664.81
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,29830          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2639214.70
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CPP0108        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EMR0639        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32774.69
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DVD0036        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4446084.81
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EGA0691        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246689.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DVD0064        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592115.62
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZP0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778320
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZP0008        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194580
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZP0012        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198413.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DJO1126        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255317.19
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ELB0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZP0016        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66091.76
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZP0027        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32740.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DMS0001        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152604.05
